name of company,salary
MILES (NORWAY),"₹16,625/mo"
BYZAN SYSTEM,"₹73,798/mo"
LIVQUIK TECHNOLOGY,"₹55,216/mo"
HOTSTAR,"₹1,447,746/yr"
NASKINTECH,"₹16,158/mo"
TECH WIND COMPUTER SERVICES,"₹42,055/mo"
YAHOO,"₹815,946/yr"
MAINTEC TECHNOLOGIES,"₹541,073/yr"
ROSHAN,"₹14,083/mo"
SETERUS,"₹374,390/yr"
GOLDMEDAL ELECTRICALS,"₹49,874/mo"
TVS,"₹20,331/mo"
"BAKER HUGHES, A GE COMPANY","₹1,152,774/yr"
GLOBALSPACE TECHNOLOGIES,"₹548,214/yr"
ENFINI LABS TECH CONSULTANT,"₹250,000/yr"
DUCK CREEK TECHNOLOGIES,"₹570,912/yr"
DR. BATRAS' POSITIVE HEALTH CLINIC,"₹232,576/yr"
RED SPARROW INFOTECH,"₹23,922/mo"
KANAKIA SPACES,"₹55,415/mo"
MERILENT,"₹27,708/mo"
GROUPM,"₹812,169/yr"
INTELENET,"₹529,310/yr"
UBS,"₹376,823/yr"
ASM TECHNOLOGIES,"₹21,624/mo"
SIXSIGMA,"₹425,588/yr"
INNOVA SOLUTIONS,"₹350,857/yr"
DONE SOLUTIONS,"₹110,830/yr"
ZOPHOP TECH,"₹1,339,636/yr"
BISTA SOLUTIONS,"₹717,806/yr"
MEDKNOW PUBLICATIONS,"₹388,161/yr"
GEBBS HEALTHCARE SOLUTIONS,"₹482,428/yr"
RECRUIT HOLDINGS,"₹664,982/yr"
ALL E TECHNOLOGIES,"₹33,225/mo"
SYMANTEC,"₹1,801,956/yr"
EDZEAL,"₹32,091/mo"
ADITYA IMAGING INFORMATION TECHNOLOGIES,"₹131,571/yr"
TATA INTERACTIVE SYSTEM,"₹664,502/yr"
PYKIH SOFTWARE,"₹33,130/mo"
MINDTREE,"₹15,948/mo"
UPGRAD,"₹42,199/mo"
